Project,Study,Sample,Sample id,Species,Chain,Reads,CDR3,Unique CDR3,D50,Diversity Index,Entropy
2408-iR-0004-0014-Stanford_Q170712_YPL6_umi,E507-N707-PER,C103_d35_aPDL1_KLR_r,341775,TRB,m,7384,7384,670,7.3,17.6,8.0
2408-iR-0004-0014-Stanford_Q170712_YPL6_umi,E506-N706-PER,C103_d35_aPDL1_Int_r,341774,TRB,m,14874,14874,1002,3.9,12.7,7.9
2408-iR-0004-0014-Stanford_Q170712_YPL6_umi,E505-N705-PER,C103_d35_aPDL1_Prog_r,341773,TRB,m,5365,5365,1304,11.0,22.6,9.3
2408-iR-0004-0014-Stanford_Q170712_YPL6_umi,E504-N704-PER,C103_d35_Ctrl_KLR_r,341772,TRB,m,6424,6424,660,5.8,16.2,7.7
2408-iR-0004-0014-Stanford_Q170712_YPL6_umi,E503-N703-PER,C103_d35_Ctrl_Int_r,341771,TRB,m,9874,9874,798,5.4,15.4,7.9
2408-iR-0004-0014-Stanford_Q170712_YPL6_umi,E502-N702-PER,C103_d35_Ctrl_Prog_r,341770,TRB,m,987,987,190,23.7,30.4,7.2
2408-iR-0004-0014-Stanford_Q170712_YPL6_umi,E501-N701-PER,C103_d21_aPDL1_KLR_r,341769,TRB,m,2072,2072,206,18.4,26.0,7.1
2408-iR-0004-0014-Stanford_Q170712_YPL6_umi,D515-D715-PER,C103_d35_aPDL1_KLR,341768,TRB,m,7173,7173,699,7.6,18.2,8.1
2408-iR-0004-0014-Stanford_Q170712_YPL6_umi,D514-D714-PER,C103_d35_aPDL1_Int,341767,TRB,m,14327,14327,951,4.0,12.8,7.8
2408-iR-0004-0014-Stanford_Q170712_YPL6_umi,D514-D714-PER,C103_d100_aPDL1_Prog_r,341766,TRB,m,11012,11012,1146,4.5,15.2,8.3
2408-iR-0004-0014-Stanford_Q170712_YPL6_umi,D513-D713-PER,C103_d35_aPDL1_Prog,341765,TRB,m,5351,5351,1353,11.2,23.1,9.4
2408-iR-0004-0014-Stanford_Q170712_YPL6_umi,D513-D713-PER,C103_d100_aPDL1_Term_r,341764,TRB,m,10917,10917,469,2.3,9.7,6.3
2408-iR-0004-0014-Stanford_Q170712_YPL6_umi,D512-D712-PER,C103_d35_Ctrl_KLR,341763,TRB,m,6656,6656,723,5.4,15.9,7.8
2408-iR-0004-0014-Stanford_Q170712_YPL6_umi,D511-D711-PER,C103_d35_Ctrl_Int,341762,TRB,m,9065,9065,836,5.3,15.1,7.9
2408-iR-0004-0014-Stanford_Q170712_YPL6_umi,D510-D710-PER,C103_d35_Ctrl_Prog,341761,TRB,m,996,996,191,23.0,29.5,7.1
2408-iR-0004-0014-Stanford_Q170712_YPL6_umi,D510-D710-PER,C103_d100_aPDL1_Prog,341760,TRB,m,11967,11967,1153,4.3,14.7,8.3
2408-iR-0004-0014-Stanford_Q170712_YPL6_umi,D509-D709-PER,C103_d21_aPDL1_KLR,341759,TRB,m,2043,2043,225,17.8,25.5,7.1
