Rep,CellNumber
GP33neg_AcuMem_1,8.60E+06
GP33neg_AcuMem_2,3.55E+06
GP33neg_AcuMem_3,1.04E+07
GP33neg_AcuMem_4,4.65E+06
GP33neg_AcuMem_5,3.71E+06
GP33pos_AcuMem_1,4.52E+05
GP33pos_AcuMem_2,2.16E+05
GP33pos_AcuMem_3,2.29E+05
GP33pos_AcuMem_4,2.63E+05
GP33pos_AcuMem_5,4.72E+05
GP33neg_ChrMem_1,3.00E+05
GP33neg_ChrMem_2,1.07E+05
GP33neg_ChrMem_3,3.92E+05
GP33neg_ChrMem_4,2.31E+05
GP33neg_ChrMem_5,1.07E+05
GP33pos_ChrMem_1,6.10E+04
GP33pos_ChrMem_2,2.36E+04
GP33pos_ChrMem_3,2.74E+04
GP33pos_ChrMem_4,4.18E+04
GP33pos_ChrMem_5,3.22E+04
