Project,Study,Sample,Sample id,Species,Chain,Reads,CDR3,Unique CDR3,D50,Diversity Index,Entropy
2405-iR-0024-Stanford_CR96_d0_Q170615_YPL6_umi,D516-D716-PER,C96_d0_Acute_CX3CR1_r,330212,TRB,m,10116,10116,1086,5.8,16.3,8.5
2405-iR-0024-Stanford_CR96_d0_Q170615_YPL6_umi,D515-D715-PER,C96_d0_Acute_EM_r,330211,TRB,m,8703,8703,1612,9.4,20.8,9.4
2405-iR-0024-Stanford_CR96_d0_Q170615_YPL6_umi,D514-D714-PER,C96_d0_Acute_CM_r,330210,TRB,m,51559,51559,20837,14.5,27.4,12.5
2405-iR-0024-Stanford_CR96_d0_Q170615_YPL6_umi,D513-D713-PER,C96_d0_Chron_CX3CR1_r,330209,TRB,m,34445,34445,1214,1.2,7.3,6.8
2405-iR-0024-Stanford_CR96_d0_Q170615_YPL6_umi,D512-D712-PER,C96_d0_Chron_Term_r,330208,TRB,m,2526,2526,194,4.1,14.2,5.6
2405-iR-0024-Stanford_CR96_d0_Q170615_YPL6_umi,D511-D711-PER,C96_d0_Chron_Prog_r,330207,TRB,m,3073,3073,343,8.5,19.1,7.2
2405-iR-0024-Stanford_CR96_d0_Q170615_YPL6_umi,D510-D710-PER,C96_d0_Chron_Tcm_r,330206,TRB,m,47592,47592,26847,29.9,37.7,13.0
2405-iR-0024-Stanford_CR96_d0_Q170615_YPL6_umi,D509-D709-PER,PosCtrl_m20210506_r,330205,TRB,m,35961,35961,29590,30.0,37.2,12.9
2405-iR-0024-Stanford_CR96_d0_Q170615_YPL6_umi,D508-D708-PER,C96_d0_Acute_CX3CR1,330204,TRB,m,7313,7313,897,6.8,17.7,8.4
2405-iR-0024-Stanford_CR96_d0_Q170615_YPL6_umi,D507-D707-PER,C96_d0_Acute_EM,330203,TRB,m,8219,8219,1412,10.3,21.3,9.3
2405-iR-0024-Stanford_CR96_d0_Q170615_YPL6_umi,D506-D706-PER,C96_d0_Acute_CM,330202,TRB,m,46654,46654,17234,15.6,27.8,12.5
2405-iR-0024-Stanford_CR96_d0_Q170615_YPL6_umi,D505-D705-PER,C96_d0_Chron_CX3CR1,330201,TRB,m,28618,28618,1034,1.4,8.0,6.8
2405-iR-0024-Stanford_CR96_d0_Q170615_YPL6_umi,D504-D704-PER,C96_d0_Chron_Term,330200,TRB,m,2324,2324,167,5.4,15.1,5.7
2405-iR-0024-Stanford_CR96_d0_Q170615_YPL6_umi,D503-D703-PER,C96_d0_Chron_Prog,330199,TRB,m,2727,2727,280,8.9,19.2,6.9
2405-iR-0024-Stanford_CR96_d0_Q170615_YPL6_umi,D502-D702-PER,C96_d0_Chron_Tcm,330198,TRB,m,45206,45206,24793,29.7,37.6,13.0
2405-iR-0024-Stanford_CR96_d0_Q170615_YPL6_umi,D501-D701-PER,PosCtrl_m20210506,330197,TRB,m,45832,45832,37447,31.5,36.9,12.9
